title,author,cover_url,series,series_number,year,subgenre,age_category,standalone,spice_level,door,spice_frequency,heat_type,tropes,mood,content_warnings,representation,energy,pacing,pov,mc_archetype,li_archetype,relationship_type,who_falls_first,ending,cliffhanger,setting,world_type,comp_titles,rating_avg,featured,status,blurb
King's Cage,Victoria Aveyard,,Red Queen,3,2017,romantasy,YA,false,1,closed,none,,captive; enemies-to-lovers; political; slow-burn,angsty,,,,,multi,,,MF,,cliffhanger,true,,high-fantasy,,,,live,"Locked in Maven's court and paraded as a broken toy, Mare must survive a king who is both her tormentor and someone she once tried to love. Cameron's chapters, an unraveling capital, and Mare's slow return to herself."
War Storm,Victoria Aveyard,,Red Queen,4,2018,romantasy,YA,false,1,closed,none,,war; enemies-to-lovers; political; found-family,angsty,,,,,multi,,,MF,,HFN,false,,high-fantasy,,,,live,"Kingdoms tear at each other and lightning splits the sky as Mare, Cal, and the Scarlet Guard drive toward the throne — and Mare has to choose between the boy she loves and the future her people deserve. The Red Queen finale."
The Bear and the Nightingale,Katherine Arden,,Winternight,1,2017,romantasy,Adult,false,1,closed,none,,chosen-one; forbidden-love; monster-romance; slow-burn,cozy,,,,,3rd single,,,MF,,HFN,false,,historical,,,,live,"In a remote Russian village where fairy tales protect the household from the winter dark, wild Vasya can see and speak to the old spirits her people are being taught to fear. When a stranger arrives preaching a new god, Vasya must ally with a frost demon to save everything she loves. Lush, snowbound, and beloved."
The Girl in the Tower,Katherine Arden,,Winternight,2,2018,romantasy,Adult,false,1,closed,none,,hidden-identity; forbidden-love; adventure; found-family,adventurous,,,,,3rd single,,,MF,,HFN,false,,historical,,,,live,"Disguised as a boy and riding as a warrior, Vasya lands in medieval Moscow as bandit raids devastate the countryside — and the frost demon Morozko is nowhere to be found. Court intrigue, sibling love, and quiet magic in a Rus on the edge."
The Winter of the Witch,Katherine Arden,,Winternight,3,2019,romantasy,Adult,false,1,closed,none,,chosen-one; forbidden-love; monster-romance; sacrifice,emotional,,,,,3rd single,,,MF,,HEA,false,,historical,,,,live,"With Moscow burning behind her, Vasya walks into the deep dark of the fairy world to save her country, her family, and the frost demon she loves. Katherine Arden's Winternight trilogy ends with all the ache and glory you'd hope for."
The Wrath and the Dawn,Renée Ahdieh,,The Wrath and the Dawn,1,2015,romantasy,YA,false,1,closed,none,,enemies-to-lovers; arranged-marriage; slow-burn; forbidden-love,swoony,,,,,3rd single,,,MF,,cliffhanger,true,,historical,,,,live,"Every dawn, the Caliph of Khorasan takes a new bride and executes her at sunrise. Shahrzad volunteers, planning to kill him herself for what he did to her best friend — until his stories, and his eyes, complicate everything. A lush 1001 Nights retelling."
The Rose and the Dagger,Renée Ahdieh,,The Wrath and the Dawn,2,2016,romantasy,YA,false,1,closed,none,,forbidden-love; second-chance; magic; war,swoony,,,,,multi,,,MF,,HEA,false,,historical,,,,live,"Torn from Khalid and hiding in the desert, Shahrzad must break the curse that's killing his kingdom before rival armies destroy them all. The blazing conclusion to the Wrath and the Dawn duology."
These Violent Delights,Chloe Gong,,These Violent Delights,1,2020,romantasy,YA,false,1,closed,none,,enemies-to-lovers; second-chance; forbidden-love; slow-burn,angsty,,,,,multi,,,MF,,cliffhanger,true,,historical,,,,live,"In 1920s Shanghai, Juliette Cai and Roma Montagov are heirs to warring gangs — and blood-feuding exes. When a supernatural madness starts killing on both sides of the city, they'll have to work together or watch Shanghai fall. Romeo and Juliet with venom and neon."
Our Violent Ends,Chloe Gong,,These Violent Delights,2,2021,romantasy,YA,false,1,closed,none,,enemies-to-lovers; forbidden-love; war; sacrifice,emotional,,,,,multi,,,MF,,tragic,false,,historical,,,,live,"Juliette has picked sides, Roma has picked survival, and Shanghai is picking up the bodies of everyone caught between. Gong follows Shakespeare with unflinching heart into the finale of the duology."
The Ten Thousand Doors of January,Alix E. Harrow,,,,2019,romantasy,Adult,true,1,closed,none,,forbidden-love; portal-fantasy; slow-burn; hidden-identity,emotional,,,,,1st single,,,MF,,HEA,false,,historical,,,,live,"January Scaller lives as the ward of a wealthy collector — until she finds a book that describes a girl exactly like her walking through impossible doors between worlds. Alix E. Harrow's stunning, romantic debut about escape, portals, and reading yourself free."
The Once and Future Witches,Alix E. Harrow,,,,2020,romantasy,Adult,true,1,closed,none,,found-family; slow-burn; witches; sisters,emotional,,,,,3rd dual,,,FF,,HFN,false,,historical,,,,live,"In 1893 New Salem, three estranged Eastwood sisters cast a small spell that opens a very old door — and awakens the movement to bring witching back into the world. Suffragism, sisterhood, and quiet, aching magic."
Spinning Silver,Naomi Novik,,,,2018,romantasy,Adult,true,2,fade,rare,,enemies-to-lovers; bargain; slow-burn; hidden-identity,cozy,,,,,multi,,,MF,,HEA,false,,high-fantasy,,,,live,"Miryem, a moneylender's daughter, boasts she can turn silver to gold — and catches the ear of a fae king who wants to hold her to it. Three heroines, a Rumpelstiltskin skeleton, and Novik's signature snowbound worldbuilding. Standalone sister to Uprooted."
Legendborn,Tracy Deonn,,Legendborn,1,2020,romantasy,YA,false,2,fade,rare,,chosen-one; hidden-identity; forbidden-love; found-family,angsty,,,,,1st single,,,MF,,cliffhanger,true,,urban-fantasy,,,,live,"Bree Matthews enrolls in an early-college program to escape the grief of her mother's death — and stumbles into a secret society of descendants of King Arthur's knights, one of whom carries something that belongs to her family. Southern Black magic, Arthurian legend, and a slow-burn romance."
Bloodmarked,Tracy Deonn,,Legendborn,2,2022,romantasy,YA,false,2,fade,rare,,chosen-one; forbidden-love; found-family; slow-burn,angsty,,,,,1st single,,,MF,,cliffhanger,true,,urban-fantasy,,,,live,"Now claimed by the Round Table — and marked by something older than any of them — Bree walks into the political nest of Arthurian bloodlines with a rebellion in her hands. Deonn digs deeper into ancestral magic, grief, and impossible loyalty."
Book of Night,Holly Black,,Book of Night,1,2022,romantasy,Adult,false,3,open,occasional,,morally-grey; slow-burn; hidden-identity; mystery,dark,,,,,3rd single,,,MF,,cliffhanger,true,,urban-fantasy,,,,live,"In a world where a few people can manipulate shadow into power, Charlie Hall is a bartender, con artist, and reformed thief — until an old case surfaces and the boyfriend she thought was safe turns out to be much stranger. Holly Black's adult debut."
Slaying the Vampire Conqueror,Carissa Broadbent,,Crowns of Nyaxia,0.5,2023,romantasy,Adult,true,3,open,occasional,,enemies-to-lovers; captive; vampires; slow-burn,angsty,,,,,1st dual,,,MF,,HEA,false,,high-fantasy,,,,live,"Two centuries before Oraya, a warrior priestess named Iliana and her captor — a lethal vampire king from the far south — are locked together on a long march across occupied land. A gothic novella in the world of Serpent and the Wings of Night."
For the Throne,Hannah Whitten,,Wilderwood,2,2022,romantasy,Adult,false,3,open,occasional,,forbidden-love; forced-proximity; monster-romance; slow-burn,angsty,,,,,3rd dual,,,MF,,HEA,false,,high-fantasy,,,,live,"Neve is trapped in the Shadowlands with the exiled Solmir — a rival, a maybe-monster, an ally she can't afford to want. As Red hunts for her sister above, the Wilderwood duology closes with a slow-burning, aching redemption."
A Dance with the Fae Prince,Elise Kova,,Married to Magic,2,2021,romantasy,Adult,true,2,fade,rare,,arranged-marriage; fae; grumpy-sunshine; slow-burn,swoony,,,,,1st single,,,MF,,HEA,false,,high-fantasy,,,,live,"Katria Applegate has spent her life as the plain-Jane of her family — until the coldly perfect Lord Fenwood buys her hand in marriage and takes her to a house full of secrets. Cozy, sweet, closed-door fae romance in the Married to Magic world."
A Duel with the Vampire Lord,Elise Kova,,Married to Magic,3,2021,romantasy,Adult,true,2,fade,rare,,enemies-to-lovers; forbidden-love; vampires; slow-burn,swoony,,,,,1st single,,,MF,,HEA,false,,high-fantasy,,,,live,"Once a year, the village hunter delivers the year's tribute to the mountain — and Floriane has been trained her whole life to kill the vampire lord who lives there. But he is not what her village told her, and the truth may cost her everything. Kova's spicier-tinged Beauty-and-the-Beast."
The City of Brass,S. A. Chakraborty,,The Daevabad Trilogy,1,2017,romantasy,Adult,false,1,closed,none,,enemies-to-lovers; hidden-identity; court-intrigue; slow-burn,adventurous,,,,,multi,,,MF,,cliffhanger,true,,high-fantasy,,,,live,"Nahri is a con artist working the streets of eighteenth-century Cairo — until a chance-spoken word summons a warrior of ancient djinn magic and drags her into the treacherous, gilded city of Daevabad. A lush, Middle-Eastern-inspired epic trilogy."
The Kingdom of Copper,S. A. Chakraborty,,The Daevabad Trilogy,2,2019,romantasy,Adult,false,1,closed,none,,forbidden-love; court-intrigue; slow-burn; found-family,angsty,,,,,multi,,,MF,,cliffhanger,true,,high-fantasy,,,,live,"Five years into her exile inside a palace of enemies, Nahri plots her survival while Prince Ali runs from assassins and old wars stir along Daevabad's copper walls. The middle Daevabad book: darker, richer, sharper."
The Empire of Gold,S. A. Chakraborty,,The Daevabad Trilogy,3,2020,romantasy,Adult,false,1,closed,none,,forbidden-love; war; court-intrigue; sacrifice,emotional,,,,,multi,,,MF,,HEA,false,,high-fantasy,,,,live,"Cairo, again — but this time Nahri is not alone, Daevabad has fallen, and the war for the six djinn tribes is coming home to her. A finale that pays every promise the trilogy made."
Circe,Madeline Miller,,,,2018,romantasy,Adult,true,2,fade,rare,,forbidden-love; hurt-comfort; hidden-identity; slow-burn,emotional,,,,,1st single,,,MF,,HFN,false,,historical,,,,live,"Cast out of her father's halls for the crime of loving a mortal, the witch Circe carves out an immortal life on a lonely island — and confronts the gods, monsters, and mortals who wash up on her shore. Companion in spirit to The Song of Achilles."
